target variable;mapping;Question;Question;Note;InterVA4
conv_d1;true_to_y(id3D360 == 'yes');Did the baby have convulsions starting within the first day of life?;Did the baby have convulsions starting within the first 24 hours of life?;;4210
conv_d2;true_to_y(id3D370 == 'yes');Did the baby have convulsions starting on the second day or later after birth?;Did the baby have convulsions starting more than 24 hours after birth?;;4220
arch_b;true_to_y(id3D380 == 'yes');Did the baby's body become stiff, with the back arched backwards?;Did the baby's body become stiff, with the back arched backwards?;;4230
font_hi;true_to_y(id3D390 == 'yes');Did the child have a bulging or raised fontanelle?;During the illness that led to death, did the baby have a bulging or raised fontanelle?;;4240
font_lo;true_to_y(id3D400 == 'yes');Did the child have a sunken fontanelle?;During the illness that led to death, did the baby have a sunken fontanelle?;;4250
unw_d1;true_to_y(id3D410 == 'yes');Did the baby become unresponsive or unconscious soon after birth (within less than 24 hours)?;Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?;;4260
unw_d2;true_to_y(id3D420 == 'yes');Did the baby become unresponsive or unconscious more than 1 day after birth?;Did the baby become unresponsive or unconscious more than 24 hours after birth?;;4270
cold;true_to_y(id3D430 == 'yes');Did the baby become cold to the touch before it died?;During the illness that led to death, did the baby become cold to touch?;;4280
umbinf;true_to_y(id3D440 == 'yes');Did the baby have redness or discharge from the umbilical cord stump?;Did the baby have redness or discharge from the umbilical cord stump?;;4290
b_yellow;true_to_y(id3D450 == 'yes');Did the baby have yellow palms or soles?;During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?;;4300
devel;true_to_y(id3D600 == 'yes');Was the baby/the child not growing normally?;Before the illness that led to death, was the baby/the child growing normally?;WHO ID changed;4310
born_malf;true_to_y(id3D230 == 'yes');Did the baby/the child have any malformation?;Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?;;4320
mlf_bk;true_to_y(id3D240 == 'yes');Did the baby/the child have a swelling/defect on the back?;Did the baby/ child have a swelling or defect on the back?;;4330
mlf_lh;true_to_y(id3D241 == 'yes');Did the baby/the child have a very large head?;Did the baby/ child have a very large head?;WHO ID changed;4340
mlf_sh;true_to_y(id3D242 == 'yes');Did the baby/the child have a very small head?;Did the baby/ child have a very small head?;WHO ID changed;4350
mttv;true_to_y(id3D265 == 'yes');Did the mother receive tetanus toxoid (TT) vaccine?;Did the mother receive tetanus toxoid (TT) vaccine?;WHO ID changed;4360
b_norm;true_to_y(id3D258 == 'yes');Was baby born in a normal vaginal delivery?;Was the delivery normal vaginal, without forceps or vacuum?;WHO ID changed;4370
b_assist;true_to_y(id3D259 == 'yes');Was baby born with forceps/vacuum?;Was the delivery vaginal, with forceps or vacuum?;WHO ID changed;4380
b_caes;true_to_y(id3D260 == 'yes');Was baby delivered by Caesarean section?;Was the delivery a Caesarean section?;WHO ID changed;4390
b_first;true_to_y(1 == 2);Was this baby born from the mother's first pregnancy?;;Mapping unclear;4400
b_more4;true_to_y(id3D267 >= 4);Did the baby's mother have four or more births, including stillbirths, before this pregnancy?;How many births, including stillbirths, did the baby's mother have before this baby?;Mapping unclear;4410
b_mbpr;true_to_y(id3D269 == 'yes');During pregnancy, did the baby's mother suffer from high blood pressure?;During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from high blood pressure?;Mapping unclear;4440
b_msmds;true_to_y(id3D271 == 'yes');Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?;Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?;WHO ID changed;4450
b_mcon;true_to_y(id3D273 == 'yes');During the last 3 months of pregnancy, did the baby's mother suffer from convulsions?;During the last 3 months of pregnancy, labour or delivery, did the baby's mother suffer from convulsions?;WHO ID changed;4460
b_mbvi;true_to_y(id3D275 == 'yes');During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?;During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?;WHO ID changed;4470
b_mvbl;true_to_y(id3D276 == 'yes');Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?;Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?;WHO ID changed;4480
b_bfac;true_to_y(id3D155 == 'hospital' || id3D155 == 'other_health_facility');Was the child born in a health facility?;Where was the deceased born?;WHO ID changed;4490
b_bhome;true_to_y(id3D155 == 'home');Was the child born at home?;Where was the deceased born?;;4500
b_bway;true_to_y(id3D155 == 'on_route_to_hospital_or_facility' || id3D155 ==  'other');Was the child born somewhere else, e.g. on the way to a facility?;Where was the deceased born?;WHO ID changed;4510
b_bprof;true_to_y(id3D165 == 'yes');Did the mother receive professional assistance during the delivery?;Did the mother receive professional assistance during the delivery?;WHO ID changed;4520
injury;true_to_y(id3E100 == 'yes');Did (s)he suffer from any injury or accident that led to her/his death?;Did (s)he suffer from any injury or accident that led to her/his death?;;5000
traffic;true_to_y(id3E115 == 'yes');Was it a road traffic accident?;Was it a road traffic accident?;WHO ID changed;5010
o_trans;true_to_y(1 == 2);Was (s)he Injured in a non?road transport accident?;;Mapping unclear;5020
fall;true_to_y(id3E100 == 'yes' && id3E310 == 'yes');Was (s)he Injured in a fall?;Was (s)he injured in a fall?;;5030
drown;true_to_y(id3E100 == 'yes' && id3E320 == 'yes');Did (s)he die of drowning?;Did (s)he die of drowning?;;5040
fire;true_to_y(id3E100 == 'yes' && id3E112 == 'yes');Did (s)he suffer from burns?;Did (s)he suffer from accidental burns?;;5050
assault;true_to_y(id3E100 == 'yes' && id3E520 == 'yes');Was (s)he subject to violence/assault?;Was (s)he subject to violence/assault?;;5060
venom;true_to_y(id3E100 == 'yes' && id3E340 == 'yes');Did (s)he suffer from any plant/animal/insect bite or sting that led to her/his death?;Was (s)he accidentally injured by a plant/animal/insect that led to her/his death?;;5070
force;true_to_y(id3E100 == 'yes' && id3E500 == 'yes');Was (s)he injured by a force of nature;Was (s)he injured by a force of nature?;;5080
poison;true_to_y(id3E100 == 'yes' && id3E510 == 'yes');Was there any poisoning?;Was there any poisoning?;;5090
inflict;true_to_y(id3E102 == 'yes');Was the injury intentionally inflicted by someone else?;Was the injury intentionally inflicted by someone else?;WHO ID changed;5100
suicide;true_to_y(id3E100 == 'yes' && id3E113 == 'yes');Do you think (s)he committed suicide?;Do you think (s)he committed suicide?;WHO ID changed;5110
alcohol;true_to_y(id3F100 == 'yes');Did (s)he drink alcohol?;Did (s)he drink alcohol?;;6000
smoking;true_to_y(id3F110 == 'yes');Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?;Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?;;6010
married;true_to_y(id1A600 == 'married');Was she married at the time of death?;What was her/his marital status?;;6020
vaccin;true_to_y(1 == 2);Was (s)he adequately vaccinated?;Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?||  id3H120: Can I see the vaccination card (note the vaccines the child received)?;Mapping unclear;6030
treat;true_to_y(id3G110 == 'yes');Did (s)he receive any treatment for the illness that led to death?;Did (s)he receive any treatment for the illness that led to death?;;6040
t_ort;true_to_y(id3G110 == 'yes' && id3G120 == 'yes');Did (s)he receive oral rehydration salts?;Did (s)he receive oral rehydration salts?;;6050
t_iv;true_to_y(id3G110 == 'yes' && id3G130 == 'yes');Did (s)he receive (or need) intravenous fluids (drip) treatment?;Did (s)he receive (or need) intravenous fluids (drip) treatment?;;6060
blood_tr;true_to_y(id3G140 == 'yes');Did (s)he receive (or need) a blood transfusion?;Did (s)he receive (or need) a blood transfusion?;;6070
t_ngt;true_to_y(id3G110 == 'yes' && id3G150 == 'yes');Did (s)he receive (or need) treatment/food through a tube passed through the nose?;Did (s)he receive (or need) treatment/food through a tube passed through the nose?;;6080
antib_i;true_to_y(id3G160 == 'yes');Did (s)he receive (or need) injectable antibiotics?;Did (s)he receive (or need) injectable antibiotics?;;6090
surgery;true_to_y(id3G110 == 'yes' && id3G170 == 'yes');Did (s)he have (or need) an operation for the illness?;Did (s)he have (or need) an operation for the illness?;;6100
sur_1m;true_to_y(id3G180 == 'yes');Did (s)he have the operation within 1 month before death?;Did (s)he have the operation within 1 month before death?;;6110
disch;true_to_y(id3G190 == 'yes');Was (s)he discharged from hospital very ill?;Was (s)he discharged from hospital very ill?;;6120
shospf;true_to_y(id4A100 == 'yes');In the final days before death, did (s)he travel to a hospital or health facility?;In the final days before death, did s/he travel to a hospital or health facility?;;7000
strans;true_to_y(id4A110 == 'yes');Did (s)he use motorised transport to get to the hospital or health facility?;Did (s)he use motorised transport to get to the hospital or health facility?;;7010
sadmit;true_to_y(id4A120 == 'yes');Were there any problems during admission to the hospital or health facility?;Were there any problems during admission to the hospital or health facility?;;7020
streat;true_to_y(id4A130 == 'yes');Were there any problems with the way (s)he was treated (medical treatment, procedures, inter?personal attitudes, respect, dignity) in the hospital or health facility?;Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?;;7030
smedic;true_to_y(id4A140 == 'yes');Were there any problems getting medications, or diagnostic tests in the hospital or health facility?;Were there any problems getting medications, or diagnostic tests in the hospital or health facility?;;7040
smore2;true_to_y(id4A150 == 'yes');Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?;Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?;;7050
sdoubt;true_to_y(id4A160 == 'yes');In the final days before death, were there any doubts about whether medical care was needed?;In the final days before death, were there any doubts about whether medical care was needed?;;7060
stradm;true_to_y(id4A170 == 'yes');In the final days before death, was traditional medicine used?;In the final days before death, was traditional medicine used?;;7070
smobph;true_to_y(id4A180 == 'yes');In the final days before death, did anyone use a telephone or cell phone to call for help?;In the final days before death, did anyone use a telephone or cell phone to call for help?;;7080
scosts;true_to_y(id4A190 == 'yes');Over the course of illness, did the total costs of care and treatment prohibit other household payments?;Over the course of illness, did the total costs of care and treatment prohibit other household payments?;;7090
