target variable	mapping	type	caption or calculation	Note	
adult6-adult_6_9	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id6H260')	add select one prompt using yesno	Was a death certificate issued?		
adult6-adult_6_10	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id6H270')	add select one prompt using yesnorefuse	Can I see the death certificate? 		
adult6-adult_6_10a	""""""	add image prompt	Take a picture of the death certificate		
adult6-adult_6_10ab	""""""	add image prompt	Take a second picture of the death certificate if necessary.		
adult6-qDeathCertsAdult-adult_6_10b	""""""	add select multiple prompt using certs	Mark all Cause of Death information that is known		
adult6-qDeathCertsAdult-adult_6_11	id6H280	add text prompt	Record the immediate cause of death from the certificate.		
adult6-qDeathCertsAdult-adult_6_12	id6H290	add text prompt	Record the first underlying cause of death from the certificate.		
adult6-qDeathCertsAdult-adult_6_13	id6H300	add text prompt	Record the second underlying cause of death from the certificate.		
adult6-qDeathCertsAdult-adult_6_14	id6H310	add text prompt	Record the third underlying cause of death from the certificate.		
adult6-qDeathCertsAdult-adult_6_15	id6H320	add text prompt	Record the contributing cause(s) of death from the certificate.		
childModule-child_1_a	""""""	add note prompt	Background Section		
childModule-Child1-child_1_3	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D104')	add select one prompt using yesno	Is the mother still alive?		
childModule-Child1-child_1_4	map_code(c('during_delivery','after_delivery'),c(1,2),'id3D106')	add select one prompt using duringAfter	Did the mother die during or after the delivery?		
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5	4	add select one prompt using monthDayNoAnswer	How long after the delivery did the mother die?		
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5a	id3D108a	add integer prompt	Days		
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5b	id3D108b	add integer prompt	Months		
childModule-Child1-child_1_6	map_code(c('hospital','other_health_facility','home','on_route_to_hospital_or_facility','other','DK','Ref'),c(1,2,4,3,5,9,8),'id3D155')	add select one prompt using birthPlace	Where was the deceased born?		
childModule-Child1-child_1_6a	""""""	add text prompt	Where was the deceased born? [other location, specified]		
childModule-Child1-birthWeightDetails-child_1_8	1	add select one prompt using weightNoAnswer	What was the weight of the deceased at birth?		
childModule-Child1-birthWeightDetails-child_1_8a	id3D201	add integer prompt	Grams		
childModule-Child1-birthWeightDetails-child_1_8b	""""""	add integer prompt	Kilograms		
childModule-Child1-child_1_7	yes_to_code(c('id3D180','id3D190','id3D195','id3D200'),c(3,2,1,4),'9')	add select one prompt using birthSize	At the time of the delivery what was the size of the deceased? (Read the question and slowly read the first 4 choices. Respondent should hear all four choices and then respond.)		
childModule-Child1-child_1_11	map_code(c('yes','no','dk','ref'),c(2,1,9,8),'id3D320')	add select one prompt using aliveDead	Was the baby born alive or dead?		
childModule-Child1-child_1_12	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D285')	add select one prompt using yesno	Did the baby ever cry? 		
childModule-Child1-child_1_13	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D298')	add select one prompt using yesno	Did the baby ever move?		
childModule-Child1-child_1_14	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D299')	add select one prompt using yesno	Did the baby ever breathe?		
childModule-Child1-child_1_15	if(t_child_1_12=='0' && t_child_1_13=='0' && t_child_1_14=='0') {'1'} else {'0'}	add calculate prompt	Decedent never cried, moved or breathed. (If all three previous responses are “No” then check “Yes” below. Otherwise, check “No.”)		
childModule-Child1-child_1_15b	""""""	add note prompt	Because the baby never cried, moved, or breathed, this was a stillbirth.		
childModule-Child1-child_1_15c	""""""	add note prompt	Because the baby was too old or because the baby either cried, moved, or breathed, this was not a stillbirth.		
childModule-Child1-stillbirth	if(t_child_1_12=='0' && t_child_1_13=='0' && t_child_1_14=='0'){'1'} else{'0'}	add calculate prompt	Indicator for stillbirth decedent		
childModule-Child1-child_1_16	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D325')	add select one prompt using yesno	Were there any bruises or signs of injury on the baby's body at birth? 		
childModule-Child1-child_1_17	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D330')	add select one prompt using yesno	Was the baby's body (skin and tissue) pulpy? 		
childModule-Child1-child_1_18	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D230')	add select one prompt using yesno	Was any part of the baby physically abnormal at time of delivery? 		
childModule-Child1-child_1_19	yes_to_code(c('id3D242','id3D241','id3D240'),c(1,2,3),'')	add select multiple prompt using abnormalities	What were the abnormalities? (Mark all that apply)		
childModule-Child1-child_1_19a	""""""	add text prompt	What were the abnormalities? [other abnormality, specified]		
childModule-Child1-ageIllnessStartDetails-child_1_20	4	add select one prompt using yearMonthDayNoAnswer	How old was the baby/child when the fatal illness started?		
childModule-Child1-ageIllnessStartDetails-child_1_20a	id3D070	add integer prompt	Days		
childModule-Child1-ageIllnessStartDetails-child_1_20b	""""""	add integer prompt	Months		
childModule-Child1-ageIllnessStartDetails-child_1_20c	id3D090	add integer prompt	Years		
childModule-Child1-illnessDurationDetails-child_1_21	4	add select one prompt using monthDayNoAnswer	How long did the illness last? 		
childModule-Child1-illnessDurationDetails-child_1_21a	id3A300	add integer prompt	Days		
childModule-Child1-illnessDurationDetails-child_1_21b	""""""	add integer prompt	Months	TODO: remove Q id3A301 from WHO instrument	
childModule-Child1-child_1_25	4	add select one prompt using yearMonthDayNoAnswer	How old was the deceased at the time of death?		
childModule-Child1-child_1_25a	ageInDays	add integer prompt	Days		
childModule-Child1-child_1_25b	""""""	add integer prompt	Months		
childModule-Child1-child_1_25c	""""""	add integer prompt	Years		
childModule-Child1-child_1_26	if (t_neonate=='1') {1} else {2}	add calculate prompt	Mark the baby's age at the time of death		
childModule-Child1-child_2_a	""""""	add note prompt	Maternal History Section		
childModule-Child1-Child2-child_2_1	yes_to_code(c('id3D273','id3D269','id3D2751','id3D270','id3D277','id3D279','id3D278','id3D276','id3D268'),c(1,2,3,4,5,6,7,8,9),10)	add select multiple prompt using complications	Was the late part of the pregnancy (defined as the last 3 months), labor, or delivery complicated by any of the following problems?		
childModule-Child1-Child2-child_2_4	map_code(c('yes','no','dk','ref'),c(0,1,9,8),'id3D251')	add select one prompt using yesno	Was the baby moving in the last few days before the birth? 		
childModule-Child1-Child2-child_2_8	map_code(c('green_or_brown','clear','other','dk','ref'),c(1,2,3,9,8),'id3D255')	add select one prompt using waterColor	What was the color of the liquor when the water broke? 		
childModule-Child1-Child2-child_2_8a	""""""	add text prompt	What was the color of the liquor when the water broke? [other location, specified]		
childModule-Child1-Child2-child_2_10	5	add select one prompt using hourNoAnswer	How much time did the labor and delivery take?		
childModule-Child1-Child2-child_2_10a	id3D252	add integer prompt	Hours		
childModule-Child1-Child2-child_2_15	""""""	add select one prompt using birthWho	Who delivered the baby?	TODO: we might want to use the same options (birthWho) as in child_2_15 in question id3C430 in WHO instrument	
childModule-Child1-Child2-child_2_15a	""""""	add text prompt	Who delivered the baby? [other person, specified]		
childModule-Child1-Child2-child_2_17	yes_to_code(c('id3C450','id3C460','id3C470'),c(1,2,4),9)	add select one prompt using deliveryType	Was the delivery … ? 	TODO: Not all delivery types available in WHO quest, add as discussed in email	
childModule-Child1-child_3_a	""""""	add note prompt	Neonatal Deaths Section		
childModule-Child1-Child3-child_3_2	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D230')	add select one prompt using yesno	Was any part of the baby physically abnormal at time of delivery?		
childModule-Child1-Child3-child_3_3	yes_to_code(c('id3D242','id3D241','id3D240'),c(1,2,3),'')	add select multiple prompt using abnormalities	What were the abnormalities?  (Mark all that apply)		
childModule-Child1-Child3-child_3_3a	""""""	add text prompt	What were the abnormalities? [other abnormality, specified]		
childModule-Child1-Child3-child_3_4	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D300')	add select one prompt using yesno	Did the baby breathe immediately after birth?		
childModule-Child1-Child3-child_3_5	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D305')	add select one prompt using yesno	Did the baby have difficulty breathing?		
childModule-Child1-Child3-child_3_6	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D310')	add select one prompt using yesno	Was anything done to try to help the baby breathe at birth? 		
childModule-Child1-Child3-child_3_7	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B290')	add select one prompt using yesno	Did the baby cry immediately after birth? 		
childModule-Child1-Child3-child_3_8	range_to_code(c(0,5,30,9999),c(1,2,3),9,'id3D292')	add select one prompt using afterBirthCry	How long after birth did the baby first cry?  (MARK ONE)		
childModule-Child1-Child3-child_3_9	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D294')	add select one prompt using yesno	Did the baby stop being able to cry? 		How many hours before death did the baby stop crying?
childModule-Child1-Child3-child_3_11	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D340')	add select one prompt using yesno	Was the baby able to suckle in a normal way during the first day of life?		Was the baby able to suckle or bottle-feed within the first 24 hours after birth?
childModule-Child1-Child3-child_3_12	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D342')	add select one prompt using yesno	Did the baby ever suckle in a normal way? 		
childModule-Child1-Child3-child_3_17	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B180')	add select one prompt using yesno	During the illness that led to death, did the baby have difficult breathing? 		
childModule-Child1-Child3-child_3_19	id3B244	add select one prompt using dayNoAnswer	For how many days did the difficult breathing last?		
childModule-Child1-Child3-child_3_19a	4	add integer prompt	Days		
childModule-Child1-Child3-child_3_20	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B190')	add select one prompt using yesno	During the illness that led to death, did the baby have fast breathing? 		
childModule-Child1-Child3-child_3_22	id3B200	add select one prompt using dayNoAnswer	For how many days did the fast breathing last? 		
childModule-Child1-Child3-child_3_22a	4	add integer prompt	Days		
childModule-Child1-Child3-child_3_23	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B250')	add select one prompt using yesno	During the illness that led to death, did the baby have indrawing of the chest? (Show Photo)		
childModule-Child1-Child3-child_3_29	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D430')	add select one prompt using yesno	During the illness that led to death, did the baby become cold to touch?		
childModule-Child1-Child3-child_3_30	id3D432	add select one prompt using dayNoAnswer	At what age did the baby start feeling cold to touch? 		
childModule-Child1-Child3-child_3_30a	4	add integer prompt	Days		
childModule-Child1-Child3-child_3_32	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D435')	add select one prompt using yesno	During the illness that led to death, did the baby become lethargic, after a period of normal activity?		
childModule-Child1-Child3-child_3_33	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D410')	add select one prompt using yesno	During the illness that led to death, did the baby become unresponsive or unconscious? 		
childModule-Child1-Child3-child_3_35	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D440')	add select one prompt using yesno	During the illness that led to death, did the baby have pus drainage from the umbilical cord stump? 		
childModule-Child1-Child3-child_3_40	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B595')	add select one prompt using yesno	During the illness that led to death, did the baby have an area(s) of skin with redness and swelling?		
childModule-Child1-Child3-child_3_47	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D450')	add select one prompt using yesno	During the illness that led to death, did he/she have yellow skin?		
childModule-Child1-Child3-child_3_49	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D455')	add select one prompt using yesno	Did the infant appear to be healthy and then just die suddenly? 		
childModule-Child1-child_4_a	""""""	add note prompt	Child Deaths Section		
childModule-Child1-Child4-child_4_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B100')	add select one prompt using yesno	During the illness that led to death, did he/she have a fever? 		
childModule-Child1-Child4-child_4_2	2	add select one prompt using feverDuration	How many days did the fever last?		
childModule-Child1-Child4-child_4_2a	id3B110	add integer prompt	Number of days (specify)		
childModule-Child1-Child4-child_4_3	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B112')	add select one prompt using yesno	Did the fever continue until death?		
childModule-Child1-Child4-child_4_4	map_code(c('mild','moderate','severe'),c(1,2,3),'id3B115')	add select one prompt using severity	How severe was the fever?		
childModule-Child1-Child4-child_4_6	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B280')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} have more frequent loose or liquid stools than usual? 		
childModule-Child1-Child4-child_4_7	yes_to_code(c('id3B280'),c(1),'')	add select one prompt using stools	How many stools did ${gen_5_0} have on the day that loose liquid stools were most frequent?		
childModule-Child1-Child4-child_4_7a	id3B292	add integer prompt	Stools		
childModule-Child1-Child4-child_4_9	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B296')	add select one prompt using yesno	Did the frequent loose or liquid stools continue until death?		
childModule-Child1-Child4-child_4_12	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B130')	add select one prompt using yesno	During the illness that led to death, did the child have a cough?		
childModule-Child1-Child4-child_4_13	4	add select one prompt using dayNoAnswer	For how many days did the cough last?		
childModule-Child1-Child4-child_4_13a	id3B140	add integer prompt	Days		
childModule-Child1-Child4-child_4_14	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B155')	add select one prompt using yesno	Was the cough very severe? 		
childModule-Child1-Child4-child_4_16	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B180')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} have difficult breathing?		
childModule-Child1-Child4-child_4_17	4	add select one prompt using dayNoAnswer	For how many days did the difficult breathing last? 		
childModule-Child1-Child4-child_4_17a	id3B244	add integer prompt	Days		
childModule-Child1-Child4-child_4_18	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B190')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} have fast breathing? 		
childModule-Child1-Child4-child_4_19	4	add select one prompt using breathingNoAnswer	For how many days did the fast breathing last?		
childModule-Child1-Child4-child_4_19a	id3B200	add integer prompt	Days		
childModule-Child1-Child4-breathingdetails-child_4_20	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B250')	add select one prompt using yesno	During the illness that led to death, did he/she have indrawing of the chest? 		
childModule-Child1-Child4-breathingdetails-child_4_23	"if (multi_select_contains(""grunting"",id3B260)) {'1'} else {'0'}"	add select one prompt using yesno	Grunting		
childModule-Child1-Child4-child_4_25	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B465')	add select one prompt using yesno	Did ${gen_5_0} experience any generalized convulsions or fits during the illness that led to death? 		
childModule-Child1-Child4-child_4_26	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B438')	add select one prompt using yesno	Was ${gen_5_0} unconscious during the illness that led to death?		
childModule-Child1-Child4-child_4_27	range_to_code(c(0,6,23,9999),c(1,2,3),9,'id3B445')	add select one prompt using unconstart	How long before death did unconsciousness start?		
childModule-Child1-Child4-child_4_28	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B405')	add select one prompt using yesno	Did ${gen_5_0} have a stiff neck during the illness that led to death? (show photo)		
childModule-Child1-Child4-child_4_29	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3D390')	add select one prompt using yesno	Did ${gen_5_0} have a bulging fontanelle during the illness that led to death? (show photo)		
childModule-Child1-Child4-child_4_30	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B560')	add select one prompt using yesno	During the month before he/she died, did ${gen_5_0} have a skin rash? 		
childModule-Child1-Child4-child_4_33	4	add select one prompt using dayNoAnswer	How many days did the rash last?		
childModule-Child1-Child4-child_4_33a	id3B570	add integer prompt	Days		
childModule-Child1-Child4-child_4_38	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B592')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0}'s skin flake off in patches?		
childModule-Child1-Child4-child_4_39	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B760')	add select one prompt using yesno	Did ${gen_5_0}'s hair change in color to a reddish or yellowish color?		
childModule-Child1-Child4-child_4_40	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B360')	add select one prompt using yesno	Did ${gen_5_0} have a protruding belly?		
childModule-Child1-Child4-child_4_41	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B770')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} suffer from 'lack of blood' or 'pallor'?		
childModule-Child1-Child4-child_4_42	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B700')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} have swelling in the armpits?		
childModule-Child1-Child4-child_4_44	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B596')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} bleed from anywhere?		
childModule-Child1-Child4-child_4_46	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B594')	add select one prompt using yesno	During the illness that led to death, did ${gen_5_0} have areas of the skin that turned black? 		
child_5_a	""""""	add note prompt	Health Records Section		
Child5-child_5_0a	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H160')	add select one prompt using yesno	Did a health care worker tell you the cause of death?		
Child5-child_5_0b	id3H170	add text prompt	What did the health care worker say?		
Child5-child_5_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H130')	add select one prompt using yesno	Was care sought outside the home while ${gen_5_0} had this illness?		
Child5-child_5_2	map_code(c('traditional_healer','homeopath','religious_leader','government_hospital','government_health_center_or_clinic','private_hospital','community_based_practitioner_associated_with_health_system','trained_birth_attendant','private_physician','pharmacy','dk','ref'),c(1,2,3,4,5,6,7,8,9,10,99,88),'id3H140')	add select multiple prompt using provider	Where or from whom did you seek care? (Check all that apply)		
Child5-child_5_3	id3H150	add text prompt	Record the name and address of any hospital, health center or clinic where care was sought:		
Child5-child_5_4	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H180')	add select one prompt using yesno	Do you have any health records that belonged to the deceased? 		
Child5-child_5_5	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H190')	add select one prompt using yesno	Can I see the health records? 		
Child5-child_5_5a	""""""	add image prompt	Take a picture of the health records		
Child5-child_5_5b	""""""	add image prompt	Take a second picture of the health records if necessary.		
Child5-child_5_6	""""""	add select multiple prompt using dates	Are the dates known for the two most recent visits and the last note? (Mark all that apply)		
Child5-recent1Child-child_5_6a	""""""	add note prompt	Record the date of the most recent visit		
Child5-recent1Child-child_5_6b	substr(id3H200,0,4)	add integer prompt	Year		
Child5-recent1Child-child_5_6c	substr(id3H200,6,7)	add integer prompt	Month		
Child5-recent1Child-child_5_6d	substr(id3H200,9,10)	add integer prompt	Day of the month		
Child5-child_5_6e	2	add select one prompt using weightNoAnswer	Record the weight on the most recent visit		
Child5-child_5_6f	""""""	add integer prompt	Grams		
Child5-child_5_6g	id3H230	add integer prompt	Kilograms		
Child5-recent2Child-child_5_7a	""""""	add note prompt	Record the date of the second most recent visit		
Child5-recent2Child-child_5_7b	substr(id3H210,0,4)	add integer prompt	Year		
Child5-recent2Child-child_5_7c	substr(id3H210,6,7)	add integer prompt	Month		
Child5-recent2Child-child_5_7d	substr(id3H210,9,10)	add integer prompt	Day of the month		
Child5-child_5_7e	2	add select one prompt using weightNoAnswer	Record the weight on the second most recent visit		
Child5-child_5_7f	""""""	add integer prompt	Grams		
Child5-child_5_7g	id3H240	add integer prompt	Kilograms		
Child5-lastNoteChild-child_5_8	""""""	add note prompt	Record the date of the last note		
Child5-lastNoteChild-child_5_8a	substr(id3H220,0,4)	add integer prompt	Year		
Child5-lastNoteChild-child_5_8b	substr(id3H220,6,7)	add integer prompt	Month		
Child5-lastNoteChild-child_5_8c	substr(id3H220,9,10)	add integer prompt	Day of the month		
Child5-child_5_9	id3H250	add text prompt	Transcribe the note:		
Child5-qDeathCertsChild-child_5_10	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id6H260')	add select one prompt using yesno	Was a death certificate issued?		
Child5-qDeathCertsChild-child_5_11	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id6H270')	add select one prompt using yesnorefuse	Can I see the death certificate? 		
Child5-qDeathCertsChild-child_5_11a	""""""	add image prompt	Take a picture of the death certificate		
Child5-qDeathCertsChild-child_5_11ab	""""""	add image prompt	Take a second picture of the death certificate if necessary.		
Child5-qDeathCertsChild-child_5_11b	""""""	add select multiple prompt using certs	Mark all Cause of Death information that is known		
Child5-qDeathCertsChild-child_5_12	id6H280	add text prompt	Record the immediate cause of death from the certificate.		
Child5-qDeathCertsChild-child_5_13	id6H290	add text prompt	Record the first underlying cause of death from the certificate.		
Child5-qDeathCertsChild-child_5_14	id6H300	add text prompt	Record the second underlying cause of death from the certificate.		
Child5-qDeathCertsChild-child_5_15	id6H310	add text prompt	Record the third underlying cause of death from the certificate.		
Child5-qDeathCertsChild-child_5_16	id6H320	add text prompt	Record the contributing cause(s) of death from the certificate.		
Child5-HIVtest-child_5_17	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H330')	add select one prompt using yesno	Has the deceased's (biological) mother ever been tested for HIV? 		
Child5-HIVtest-child_5_18	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H340')	add select one prompt using yesno	Was the HIV test ever positive? 		
Child5-HIVtest-child_5_19	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H350')	add select one prompt using yesno	Has the deceased's (biological) mother ever been told she had AIDS by a health worker? 		
adult7-adult_7_a	""""""	add note prompt	"Instructions to the interviewer: Say to the respondent: ""Thank you for the patient responses to this exhaustive set of questions. Could you please summarize, or tell us in your own words, any additional information about the illness and/or death of your loved one?"""		
adult7-adult_7_b	""""""	add note prompt	"To the interviewer: Listen to what the respondent tells you in his/her own words. Do not prompt except for asking whether there was anything else after the respondent finishes. If the respondent mentions any of the following words, mark ""mentioned"".  Tell the respondent to stop and start again if they mention a word of interest, so you have time to mark it down."		
adult7-table_list_adult-generated_table_list_label_565	""""""				
adult7-table_list_adult-reserved_name_for_field_list_labels_566					
adult7-table_list_adult-adult_7_1	"if (multi_select_contains(""Chronic_kidney_disease"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Chronic Kidney Disease		
adult7-table_list_adult-adult_7_2	"if (multi_select_contains(""Dialysis"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Dialysis		
adult7-table_list_adult-adult_7_3	"if (multi_select_contains(""Fever"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Fever		
adult7-table_list_adult-adult_7_4	"if (multi_select_contains(""Heart_attack"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Heart Attack (AMI)		
adult7-table_list_adult-adult_7_5	"if (multi_select_contains(""Heart_problem"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Heart Problems		
adult7-table_list_adult-adult_7_6	"if (multi_select_contains(""Jaundice"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Jaundice		
adult7-table_list_adult-adult_7_7	"if (multi_select_contains(""Liver_failure"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Liver Failure		
adult7-table_list_adult-adult_7_8	"if (multi_select_contains(""Malaria"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Malaria		
adult7-table_list_adult-adult_7_9	"if (multi_select_contains(""Pneumonia"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Pneumonia		
adult7-table_list_adult-adult_7_10	"if (multi_select_contains(""Renal_kidney_failure"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Renal (Kidney) Failure		
adult7-table_list_adult-adult_7_11	"if (multi_select_contains(""Suicide"",id5A110)) {'1'} else {''}"	add select multiple prompt using mentioned	Suicide		
adult7-adult_7_99	"if (multi_select_contains(""None"",id5A110)) {'1'} else {''}"	add select one prompt using mentioned_confirm	Confirm that no words of interest were used during the open response.		
child6-child_6_a	""""""	add note prompt	"Instructions to the interviewer: Say to the respondent: ""Thank you for the patient responses to this exhaustive set of questions. Could you please summarize, or tell us in your own words, any additional information about the illness and/or death of your loved one?"""		
child6-child_6_b	""""""	add note prompt	"To the interviewer: Listen to what the respondent tells you in his/her own words. Do not prompt except for asking whether there was anything else after the respondent finishes. If the respondent mentions any of the following words, mark ""mentioned"".  Tell the respondent to stop and start again if they mention a word of interest, so you have time to mark it down."		
child6-table_list_child-generated_table_list_label_585	""""""				
child6-table_list_child-reserved_name_for_field_list_labels_586	""""""				
child6-table_list_child-child_6_1	"if (multi_select_contains(""abdomen"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Abdomen		
child6-table_list_child-child_6_2	"if (multi_select_contains(""cancer"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Cancer		
child6-table_list_child-child_6_3	"if (multi_select_contains(""dehydration"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Dehydration		
child6-table_list_child-child_6_4	"if (multi_select_contains(""dengue"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Dengue fever		
child6-table_list_child-child_6_5	"if (multi_select_contains(""diarrhea"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Diarrhea		
child6-table_list_child-child_6_6	"if (multi_select_contains(""fever"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Fever		
child6-table_list_child-child_6_7	"if (multi_select_contains(""heart_problem"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Heart Problems		
child6-table_list_child-child_6_8	"if (multi_select_contains(""jaundice"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Jaundice (yellow skin or eyes)		
child6-table_list_child-child_6_9	"if (multi_select_contains(""pneumonia"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Pneumonia		
child6-table_list_child-child_6_10	"if (multi_select_contains(""rash"",id5A111)) {'1'} else {''}"	add select multiple prompt using mentioned	Rash		
child6-child_6_99	"if (multi_select_contains(""None"",id5A111)) {'1'} else {''}"	add select one prompt using mentioned_confirm	Confirm that no words of interest were used during the open response.		
neonate6-neonate_6_a	""""""	add note prompt	"Instructions to the interviewer: Say to the respondent: ""Thank you for the patient responses to this exhaustive set of questions. Could you please summarize, or tell us in your own words, any additional information about the illness and/or death of your loved one?"""		
neonate6-neonate_6_b	""""""	add note prompt	"To the interviewer: Listen to what the respondent tells you in his/her own words. Do not prompt except for asking whether there was anything else after the respondent finishes. If the respondent mentions any of the following words, mark ""mentioned"".  Tell the respondent to stop and start again if they mention a word of interest, so you have time to mark it down."		
neonate6-table_list_neonate-generated_table_list_label_604	""""""				
neonate6-table_list_neonate-reserved_name_for_field_list_labels_605	""""""				
neonate6-table_list_neonate-neonate_6_1	"if (multi_select_contains(""asphyxia"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Asphyxia (lack of oxygen)		
neonate6-table_list_neonate-neonate_6_2	"if (multi_select_contains(""incubator"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Incubator		
neonate6-table_list_neonate-neonate_6_3	"if (multi_select_contains(""lung_problem"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Lung Problems		
neonate6-table_list_neonate-neonate_6_4	"if (multi_select_contains(""pneumonia"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Pneumonia		
neonate6-table_list_neonate-neonate_6_5	"if (multi_select_contains(""preterm_delivery"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Preterm Delivery		
neonate6-table_list_neonate-neonate_6_6	"if (multi_select_contains(""respiratory_distress"",id5A112)) {'1'} else {''}"	add select multiple prompt using mentioned	Respiratory Distress		
neonate6-neonate_6_99	"if (multi_select_contains(""None"",id5A112)) {'1'} else {''}"	add select one prompt using mentioned_confirm	Confirm that no words of interest were used during the open response.		
interviewendtime	id2A135	get end time	End time of the Interview		
meta-instanceID	instanceID				
KEY	KEY				
